
---------- Begin Simulation Statistics ----------
simSeconds                                   0.082090                       # Number of seconds simulated (Second)
simTicks                                  82090177000                       # Number of ticks simulated (Tick)
finalTick                                 82090177000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.82                       # Real time elapsed on the host (Second)
hostTickRate                               2170539666                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1198124                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       17202254                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   264409                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     454843                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         82090178                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.209018                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.121817                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        20352191                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       55                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19576064                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8965                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3149907                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6697209                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  43                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            49778238                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.393266                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.108924                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  41637754     83.65%     83.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3290266      6.61%     90.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2071758      4.16%     94.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    833545      1.67%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    887459      1.78%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    407922      0.82%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    512876      1.03%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    118319      0.24%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18339      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              49778238                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  234001     99.78%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.78% # attempts to use FU when none available (Count)
